number,status,score,level,primary_category,tags,prize,formalized,oeis,problem_file,url
375,falsifiable,45,low_to_medium_candidate,number theory,number theory,no,yes,N/A,problems/number-theory/problem_375.md,https://www.erdosproblems.com/375
376,open,34,low_candidate,number theory,number theory; binomial coefficients; base representations,no,yes,A030979,problems/number-theory/problem_376.md,https://www.erdosproblems.com/376
377,open,26,low_candidate,number theory,number theory; binomial coefficients,no,yes,N/A,problems/number-theory/problem_377.md,https://www.erdosproblems.com/377
382,open,21,low_candidate,number theory,number theory,no,no,A388850,problems/number-theory/problem_382.md,https://www.erdosproblems.com/382
383,open,29,low_candidate,number theory,number theory,no,yes,N/A,problems/number-theory/problem_383.md,https://www.erdosproblems.com/383
385,open,30,low_candidate,number theory,number theory,no,yes,A322292,problems/number-theory/problem_385.md,https://www.erdosproblems.com/385
386,open,40,low_to_medium_candidate,number theory,number theory; binomial coefficients,no,yes,A280992,problems/number-theory/problem_386.md,https://www.erdosproblems.com/386
387,open,37,low_candidate,number theory,number theory; binomial coefficients,no,yes,N/A,problems/number-theory/problem_387.md,https://www.erdosproblems.com/387
388,open,35,low_candidate,number theory,number theory,no,no,N/A,problems/number-theory/problem_388.md,https://www.erdosproblems.com/388
389,open,39,low_to_medium_candidate,number theory,number theory,no,yes,A375071,problems/number-theory/problem_389.md,https://www.erdosproblems.com/389
390,open,35,low_candidate,number theory,number theory; factorials,no,yes,A193429,problems/number-theory/problem_390.md,https://www.erdosproblems.com/390
393,open,28,low_candidate,number theory,number theory; factorials,no,no,A388302,problems/number-theory/problem_393.md,https://www.erdosproblems.com/393
394,open,27,low_candidate,number theory,number theory,no,yes,A344005,problems/number-theory/problem_394.md,https://www.erdosproblems.com/394
396,open,40,low_to_medium_candidate,number theory,number theory; binomial coefficients,no,yes,A375077,problems/number-theory/problem_396.md,https://www.erdosproblems.com/396
398,falsifiable,61,medium_candidate,number theory,number theory; factorials,no,yes,A146968; A141399,problems/number-theory/problem_398.md,https://www.erdosproblems.com/398
400,open,25,low_candidate,number theory,number theory; factorials,no,yes,possible,problems/number-theory/problem_400.md,https://www.erdosproblems.com/400
404,open,23,low_candidate,number theory,number theory; factorials,no,no,N/A,problems/number-theory/problem_404.md,https://www.erdosproblems.com/404
406,open,38,low_to_medium_candidate,number theory,number theory; base representations,no,yes,N/A,problems/number-theory/problem_406.md,https://www.erdosproblems.com/406
408,open,22,low_candidate,number theory,number theory; iterated functions,no,no,A049108,problems/number-theory/problem_408.md,https://www.erdosproblems.com/408
409,open,32,low_candidate,number theory,number theory; iterated functions,no,yes,A039651; A229487,problems/number-theory/problem_409.md,https://www.erdosproblems.com/409
410,open,36,low_candidate,number theory,number theory; iterated functions,no,yes,A007497; possible,problems/number-theory/problem_410.md,https://www.erdosproblems.com/410
411,open,25,low_candidate,number theory,number theory; iterated functions,no,no,A383044; possible,problems/number-theory/problem_411.md,https://www.erdosproblems.com/411
412,open,36,low_candidate,number theory,number theory; iterated functions,no,yes,A007497; A051572,problems/number-theory/problem_412.md,https://www.erdosproblems.com/412
413,open,32,low_candidate,number theory,number theory; iterated functions,no,yes,A005236,problems/number-theory/problem_413.md,https://www.erdosproblems.com/413
414,open,36,low_candidate,number theory,number theory; iterated functions,no,yes,A064491; possible,problems/number-theory/problem_414.md,https://www.erdosproblems.com/414
415,open,21,low_candidate,number theory,number theory,no,no,possible,problems/number-theory/problem_415.md,https://www.erdosproblems.com/415
416,open,32,low_candidate,number theory,number theory,no,yes,A264810,problems/number-theory/problem_416.md,https://www.erdosproblems.com/416
417,open,39,low_to_medium_candidate,number theory,number theory,no,yes,A264810; A061070,problems/number-theory/problem_417.md,https://www.erdosproblems.com/417
420,open,18,low_candidate,number theory,number theory,no,no,N/A,problems/number-theory/problem_420.md,https://www.erdosproblems.com/420
421,open,37,low_candidate,number theory,number theory,no,yes,A389544; A390848,problems/number-theory/problem_421.md,https://www.erdosproblems.com/421
422,open,39,low_to_medium_candidate,number theory,number theory,no,yes,A005185,problems/number-theory/problem_422.md,https://www.erdosproblems.com/422
423,open,25,low_candidate,number theory,number theory,no,no,A005243,problems/number-theory/problem_423.md,https://www.erdosproblems.com/423
424,open,32,low_candidate,number theory,number theory,no,yes,A005244,problems/number-theory/problem_424.md,https://www.erdosproblems.com/424
425,open,22,low_candidate,number theory,number theory; sidon sets,no,no,possible,problems/number-theory/problem_425.md,https://www.erdosproblems.com/425
428,open,25,low_candidate,number theory,number theory; primes,no,yes,N/A,problems/number-theory/problem_428.md,https://www.erdosproblems.com/428
430,open,15,low_candidate,number theory,number theory,no,no,possible,problems/number-theory/problem_430.md,https://www.erdosproblems.com/430
431,open,18,low_candidate,number theory,number theory; primes,no,no,N/A,problems/number-theory/problem_431.md,https://www.erdosproblems.com/431
432,open,27,low_candidate,number theory,number theory,no,no,N/A,problems/number-theory/problem_432.md,https://www.erdosproblems.com/432
436,open,31,low_candidate,number theory,number theory,no,no,A000445; possible,problems/number-theory/problem_436.md,https://www.erdosproblems.com/436
445,open,26,low_candidate,number theory,number theory,no,yes,N/A,problems/number-theory/problem_445.md,https://www.erdosproblems.com/445
450,open,21,low_candidate,number theory,number theory; divisors,no,no,N/A,problems/number-theory/problem_450.md,https://www.erdosproblems.com/450
451,open,25,low_candidate,number theory,number theory,no,no,A386620,problems/number-theory/problem_451.md,https://www.erdosproblems.com/451
452,open,15,low_candidate,number theory,number theory,no,no,possible,problems/number-theory/problem_452.md,https://www.erdosproblems.com/452
454,open,27,low_candidate,number theory,number theory; primes,no,yes,A389676; A389677,problems/number-theory/problem_454.md,https://www.erdosproblems.com/454
455,open,23,low_candidate,number theory,number theory,no,yes,N/A,problems/number-theory/problem_455.md,https://www.erdosproblems.com/455
456,open,21,low_candidate,number theory,number theory,no,no,possible,problems/number-theory/problem_456.md,https://www.erdosproblems.com/456
458,falsifiable,52,low_to_medium_candidate,number theory,number theory; primes,no,yes,A056604,problems/number-theory/problem_458.md,https://www.erdosproblems.com/458
460,open,20,low_candidate,number theory,number theory,no,no,N/A,problems/number-theory/problem_460.md,https://www.erdosproblems.com/460
461,open,15,low_candidate,number theory,number theory; primes,no,no,possible,problems/number-theory/problem_461.md,https://www.erdosproblems.com/461
462,open,19,low_candidate,number theory,number theory; primes,no,no,A032742; possible,problems/number-theory/problem_462.md,https://www.erdosproblems.com/462
463,open,25,low_candidate,number theory,number theory; primes,no,yes,possible,problems/number-theory/problem_463.md,https://www.erdosproblems.com/463
467,open,18,low_candidate,number theory,number theory,no,no,N/A,problems/number-theory/problem_467.md,https://www.erdosproblems.com/467
468,open,25,low_candidate,number theory,number theory; divisors,no,no,A167485; A387502; A387503,problems/number-theory/problem_468.md,https://www.erdosproblems.com/468
469,open,33,low_candidate,number theory,number theory; divisors,no,yes,A006036; A119425; possible,problems/number-theory/problem_469.md,https://www.erdosproblems.com/469
470,open,27,low_candidate,number theory,number theory; divisors,$10,yes,A006037; A002975,problems/number-theory/problem_470.md,https://www.erdosproblems.com/470
472,open,30,low_candidate,number theory,number theory,no,no,A389713; possible,problems/number-theory/problem_472.md,https://www.erdosproblems.com/472
474,not provable,9,not_applicable_meta_mathematical,set theory,set theory; ramsey theory,$100,no,N/A,problems/set-theory/problem_474.md,https://www.erdosproblems.com/474
475,decidable,59,medium_candidate,number theory,number theory; additive combinatorics,no,no,N/A,problems/number-theory/problem_475.md,https://www.erdosproblems.com/475
477,open,39,low_to_medium_candidate,number theory,number theory,no,yes,N/A,problems/number-theory/problem_477.md,https://www.erdosproblems.com/477
478,open,19,low_candidate,number theory,number theory; factorials,no,no,A210184,problems/number-theory/problem_478.md,https://www.erdosproblems.com/478
479,open,41,low_to_medium_candidate,number theory,number theory,no,yes,A036236; A015919; A050259; A015921; A006521; A006517; A015940,problems/number-theory/problem_479.md,https://www.erdosproblems.com/479
483,open,32,low_candidate,number theory,number theory; additive combinatorics; ramsey theory,no,no,A030126,problems/number-theory/problem_483.md,https://www.erdosproblems.com/483
486,open,26,low_candidate,number theory,number theory; primitive sets,no,yes,N/A,problems/number-theory/problem_486.md,https://www.erdosproblems.com/486
488,falsifiable,59,medium_candidate,number theory,number theory,no,yes,N/A,problems/number-theory/problem_488.md,https://www.erdosproblems.com/488
489,open,29,low_candidate,number theory,number theory,no,yes,N/A,problems/number-theory/problem_489.md,https://www.erdosproblems.com/489
495,open,29,low_candidate,diophantine approximation,diophantine approximation; number theory,no,yes,N/A,problems/diophantine-approximation/problem_495.md,https://www.erdosproblems.com/495
500,open,39,low_to_medium_candidate,graph theory,graph theory; hypergraphs; turan number,$500,no,A140462,problems/graph-theory/problem_500.md,https://www.erdosproblems.com/500
501,open,36,low_candidate,combinatorics,combinatorics; set theory,no,yes,N/A,problems/combinatorics/problem_501.md,https://www.erdosproblems.com/501
503,open,35,low_candidate,geometry,geometry; distances,no,yes,A175769,problems/geometry/problem_503.md,https://www.erdosproblems.com/503
506,decidable,63,medium_candidate,geometry,geometry,no,no,possible,problems/geometry/problem_506.md,https://www.erdosproblems.com/506
507,open,23,low_candidate,geometry,geometry,no,yes,N/A,problems/geometry/problem_507.md,https://www.erdosproblems.com/507
508,open,48,low_to_medium_candidate,geometry,geometry; ramsey theory,no,yes,N/A,problems/geometry/problem_508.md,https://www.erdosproblems.com/508
509,open,32,low_candidate,analysis,analysis,no,yes,N/A,problems/analysis/problem_509.md,https://www.erdosproblems.com/509
510,open,34,low_candidate,analysis,analysis,no,yes,N/A,problems/analysis/problem_510.md,https://www.erdosproblems.com/510
513,open,29,low_candidate,analysis,analysis,no,yes,N/A,problems/analysis/problem_513.md,https://www.erdosproblems.com/513
514,open,29,low_candidate,analysis,analysis,no,no,N/A,problems/analysis/problem_514.md,https://www.erdosproblems.com/514
517,open,35,low_candidate,analysis,analysis,no,yes,N/A,problems/analysis/problem_517.md,https://www.erdosproblems.com/517
520,open,26,low_candidate,number theory,number theory; probability,no,yes,N/A,problems/number-theory/problem_520.md,https://www.erdosproblems.com/520
521,open,32,low_candidate,analysis,analysis; polynomials; probability,no,no,N/A,problems/analysis/problem_521.md,https://www.erdosproblems.com/521
522,open,37,low_candidate,analysis,analysis; polynomials; probability,no,yes,N/A,problems/analysis/problem_522.md,https://www.erdosproblems.com/522
524,open,35,low_candidate,analysis,analysis; probability; polynomials,no,no,N/A,problems/analysis/problem_524.md,https://www.erdosproblems.com/524
528,open,28,low_candidate,geometry,geometry,no,no,A387897; A156816,problems/geometry/problem_528.md,https://www.erdosproblems.com/528
529,open,25,low_candidate,geometry,geometry; probability,no,no,N/A,problems/geometry/problem_529.md,https://www.erdosproblems.com/529
530,open,27,low_candidate,number theory,number theory; sidon sets,no,no,A143824; possible,problems/number-theory/problem_530.md,https://www.erdosproblems.com/530
531,open,34,low_candidate,number theory,number theory; ramsey theory,no,no,possible,problems/number-theory/problem_531.md,https://www.erdosproblems.com/531
535,open,29,low_candidate,number theory,number theory,no,yes,possible,problems/number-theory/problem_535.md,https://www.erdosproblems.com/535
536,open,23,low_candidate,number theory,number theory,no,yes,possible,problems/number-theory/problem_536.md,https://www.erdosproblems.com/536
538,open,21,low_candidate,number theory,number theory,no,no,N/A,problems/number-theory/problem_538.md,https://www.erdosproblems.com/538
539,open,29,low_candidate,number theory,number theory,no,yes,possible,problems/number-theory/problem_539.md,https://www.erdosproblems.com/539
544,open,42,low_to_medium_candidate,graph theory,graph theory; ramsey theory,no,no,A000791,problems/graph-theory/problem_544.md,https://www.erdosproblems.com/544
545,open,45,low_to_medium_candidate,graph theory,graph theory; ramsey theory,no,no,A059442; possible,problems/graph-theory/problem_545.md,https://www.erdosproblems.com/545
547,decidable,76,high_candidate,graph theory,graph theory; ramsey theory,no,no,N/A,problems/graph-theory/problem_547.md,https://www.erdosproblems.com/547
548,falsifiable,65,medium_candidate,graph theory,graph theory,no,no,N/A,problems/graph-theory/problem_548.md,https://www.erdosproblems.com/548
550,open,41,low_to_medium_candidate,graph theory,graph theory; ramsey theory,no,no,N/A,problems/graph-theory/problem_550.md,https://www.erdosproblems.com/550
551,decidable,77,high_candidate,graph theory,graph theory; ramsey theory,no,no,N/A,problems/graph-theory/problem_551.md,https://www.erdosproblems.com/551
552,open,39,low_to_medium_candidate,graph theory,graph theory; ramsey theory,no,no,A006672,problems/graph-theory/problem_552.md,https://www.erdosproblems.com/552
554,open,41,low_to_medium_candidate,graph theory,graph theory; ramsey theory,no,no,possible,problems/graph-theory/problem_554.md,https://www.erdosproblems.com/554
555,open,45,low_to_medium_candidate,graph theory,graph theory; ramsey theory,no,no,A389313; possible,problems/graph-theory/problem_555.md,https://www.erdosproblems.com/555
556,decidable,81,high_candidate,graph theory,graph theory; ramsey theory,no,no,A389335,problems/graph-theory/problem_556.md,https://www.erdosproblems.com/556
557,open,44,low_to_medium_candidate,graph theory,graph theory; ramsey theory,no,no,N/A,problems/graph-theory/problem_557.md,https://www.erdosproblems.com/557
558,open,44,low_to_medium_candidate,graph theory,graph theory; ramsey theory,no,no,possible,problems/graph-theory/problem_558.md,https://www.erdosproblems.com/558
560,open,47,low_to_medium_candidate,graph theory,graph theory; ramsey theory,no,no,possible,problems/graph-theory/problem_560.md,https://www.erdosproblems.com/560
561,open,50,low_to_medium_candidate,graph theory,graph theory; ramsey theory,no,no,N/A,problems/graph-theory/problem_561.md,https://www.erdosproblems.com/561
562,open,59,medium_candidate,graph theory,graph theory; ramsey theory; hypergraphs,no,yes,possible,problems/graph-theory/problem_562.md,https://www.erdosproblems.com/562
563,open,54,low_to_medium_candidate,graph theory,graph theory; ramsey theory; hypergraphs,no,no,N/A,problems/graph-theory/problem_563.md,https://www.erdosproblems.com/563
564,open,57,medium_candidate,graph theory,graph theory; ramsey theory; hypergraphs,$500,yes,possible,problems/graph-theory/problem_564.md,https://www.erdosproblems.com/564
566,open,46,low_to_medium_candidate,graph theory,graph theory; ramsey theory,no,yes,N/A,problems/graph-theory/problem_566.md,https://www.erdosproblems.com/566
567,open,40,low_to_medium_candidate,graph theory,graph theory; ramsey theory,no,yes,N/A,problems/graph-theory/problem_567.md,https://www.erdosproblems.com/567
568,open,41,low_to_medium_candidate,graph theory,graph theory; ramsey theory,no,no,N/A,problems/graph-theory/problem_568.md,https://www.erdosproblems.com/568
569,open,44,low_to_medium_candidate,graph theory,graph theory; ramsey theory,no,no,N/A,problems/graph-theory/problem_569.md,https://www.erdosproblems.com/569
571,open,52,low_to_medium_candidate,graph theory,graph theory; turan number,no,no,N/A,problems/graph-theory/problem_571.md,https://www.erdosproblems.com/571
572,open,35,low_candidate,graph theory,graph theory; turan number,no,no,possible,problems/graph-theory/problem_572.md,https://www.erdosproblems.com/572
573,open,44,low_to_medium_candidate,graph theory,graph theory; turan number,no,no,A006856,problems/graph-theory/problem_573.md,https://www.erdosproblems.com/573
575,open,41,low_to_medium_candidate,graph theory,graph theory; turan number,no,no,N/A,problems/graph-theory/problem_575.md,https://www.erdosproblems.com/575
576,open,32,low_candidate,graph theory,graph theory; turan number,no,no,possible,problems/graph-theory/problem_576.md,https://www.erdosproblems.com/576
579,open,35,low_candidate,graph theory,graph theory; turan number,no,no,N/A,problems/graph-theory/problem_579.md,https://www.erdosproblems.com/579
580,decidable,67,medium_candidate,graph theory,graph theory,no,no,N/A,problems/graph-theory/problem_580.md,https://www.erdosproblems.com/580
583,falsifiable,62,medium_candidate,graph theory,graph theory,no,no,N/A,problems/graph-theory/problem_583.md,https://www.erdosproblems.com/583
584,open,35,low_candidate,graph theory,graph theory; cycles,no,no,N/A,problems/graph-theory/problem_584.md,https://www.erdosproblems.com/584
585,open,37,low_candidate,graph theory,graph theory; cycles,no,no,possible,problems/graph-theory/problem_585.md,https://www.erdosproblems.com/585
588,open,19,low_candidate,geometry,geometry,$100,no,possible,problems/geometry/problem_588.md,https://www.erdosproblems.com/588
589,open,15,low_candidate,geometry,geometry,no,no,possible,problems/geometry/problem_589.md,https://www.erdosproblems.com/589
592,open,31,low_candidate,set theory,set theory; ramsey theory,$1000,yes,N/A,problems/set-theory/problem_592.md,https://www.erdosproblems.com/592
593,open,47,low_to_medium_candidate,set theory,set theory; graph theory; hypergraphs; chromatic number,$500,no,N/A,problems/set-theory/problem_593.md,https://www.erdosproblems.com/593
595,open,40,low_to_medium_candidate,graph theory,graph theory; set theory,$250,yes,N/A,problems/graph-theory/problem_595.md,https://www.erdosproblems.com/595
596,open,44,low_to_medium_candidate,graph theory,graph theory; ramsey theory; set theory,no,no,N/A,problems/graph-theory/problem_596.md,https://www.erdosproblems.com/596
597,open,41,low_to_medium_candidate,graph theory,graph theory; ramsey theory; set theory,no,no,N/A,problems/graph-theory/problem_597.md,https://www.erdosproblems.com/597
598,open,41,low_to_medium_candidate,set theory,set theory; ramsey theory,no,yes,N/A,problems/set-theory/problem_598.md,https://www.erdosproblems.com/598
600,open,34,low_candidate,graph theory,graph theory,no,no,possible,problems/graph-theory/problem_600.md,https://www.erdosproblems.com/600
601,open,33,low_candidate,graph theory,graph theory; set theory,$500,no,N/A,problems/graph-theory/problem_601.md,https://www.erdosproblems.com/601
602,open,47,low_to_medium_candidate,combinatorics,combinatorics; set theory,no,yes,N/A,problems/combinatorics/problem_602.md,https://www.erdosproblems.com/602
603,open,39,low_to_medium_candidate,combinatorics,combinatorics; set theory,no,no,N/A,problems/combinatorics/problem_603.md,https://www.erdosproblems.com/603
604,open,14,low_candidate,geometry,geometry; distances,$500,no,possible,problems/geometry/problem_604.md,https://www.erdosproblems.com/604
609,open,38,low_to_medium_candidate,graph theory,graph theory; ramsey theory,no,no,possible,problems/graph-theory/problem_609.md,https://www.erdosproblems.com/609
610,open,31,low_candidate,graph theory,graph theory,no,no,possible,problems/graph-theory/problem_610.md,https://www.erdosproblems.com/610
611,open,37,low_candidate,graph theory,graph theory,no,no,N/A,problems/graph-theory/problem_611.md,https://www.erdosproblems.com/611
612,open,33,low_candidate,graph theory,graph theory,no,no,N/A,problems/graph-theory/problem_612.md,https://www.erdosproblems.com/612
614,open,37,low_candidate,graph theory,graph theory,no,no,possible,problems/graph-theory/problem_614.md,https://www.erdosproblems.com/614
616,open,40,low_to_medium_candidate,graph theory,graph theory,no,no,N/A,problems/graph-theory/problem_616.md,https://www.erdosproblems.com/616
617,falsifiable,70,high_candidate,graph theory,graph theory,no,yes,N/A,problems/graph-theory/problem_617.md,https://www.erdosproblems.com/617
619,open,37,low_candidate,graph theory,graph theory,no,no,N/A,problems/graph-theory/problem_619.md,https://www.erdosproblems.com/619
620,open,31,low_candidate,graph theory,graph theory,no,no,possible,problems/graph-theory/problem_620.md,https://www.erdosproblems.com/620
623,open,35,low_candidate,set theory,set theory,no,yes,N/A,problems/set-theory/problem_623.md,https://www.erdosproblems.com/623
624,open,36,low_candidate,combinatorics,combinatorics,no,yes,possible,problems/combinatorics/problem_624.md,https://www.erdosproblems.com/624
625,open,36,low_candidate,graph theory,graph theory; chromatic number,$1000,no,N/A,problems/graph-theory/problem_625.md,https://www.erdosproblems.com/625
626,open,45,low_to_medium_candidate,graph theory,graph theory; chromatic number; cycles,no,no,possible,problems/graph-theory/problem_626.md,https://www.erdosproblems.com/626
627,open,41,low_to_medium_candidate,graph theory,graph theory; chromatic number,no,no,possible,problems/graph-theory/problem_627.md,https://www.erdosproblems.com/627
628,falsifiable,69,medium_candidate,graph theory,graph theory; chromatic number,no,no,N/A,problems/graph-theory/problem_628.md,https://www.erdosproblems.com/628
629,open,44,low_to_medium_candidate,graph theory,graph theory; chromatic number,no,no,possible,problems/graph-theory/problem_629.md,https://www.erdosproblems.com/629
634,open,26,low_candidate,geometry,geometry,$25,no,possible,problems/geometry/problem_634.md,https://www.erdosproblems.com/634
635,open,27,low_candidate,number theory,number theory,no,no,N/A,problems/number-theory/problem_635.md,https://www.erdosproblems.com/635
638,open,52,low_to_medium_candidate,graph theory,graph theory; ramsey theory,no,no,N/A,problems/graph-theory/problem_638.md,https://www.erdosproblems.com/638
640,open,46,low_to_medium_candidate,graph theory,graph theory; chromatic number,no,no,N/A,problems/graph-theory/problem_640.md,https://www.erdosproblems.com/640
642,open,38,low_to_medium_candidate,graph theory,graph theory; cycles,no,no,possible,problems/graph-theory/problem_642.md,https://www.erdosproblems.com/642
643,open,38,low_to_medium_candidate,graph theory,graph theory; hypergraphs,no,no,possible,problems/graph-theory/problem_643.md,https://www.erdosproblems.com/643
644,open,31,low_candidate,combinatorics,combinatorics,no,no,possible,problems/combinatorics/problem_644.md,https://www.erdosproblems.com/644
647,verifiable,72,high_candidate,number theory,number theory,£25,yes,A062249; A087280,problems/number-theory/problem_647.md,https://www.erdosproblems.com/647
653,open,26,low_candidate,geometry,geometry; distances,no,yes,possible,problems/geometry/problem_653.md,https://www.erdosproblems.com/653
654,open,20,low_candidate,geometry,geometry; distances,no,no,possible,problems/geometry/problem_654.md,https://www.erdosproblems.com/654
655,open,26,low_candidate,geometry,geometry; distances,no,yes,possible,problems/geometry/problem_655.md,https://www.erdosproblems.com/655
657,open,21,low_candidate,geometry,geometry; distances,no,no,possible,problems/geometry/problem_657.md,https://www.erdosproblems.com/657
660,open,15,low_candidate,geometry,geometry; distances; convex,no,no,possible,problems/geometry/problem_660.md,https://www.erdosproblems.com/660
661,open,18,low_candidate,geometry,geometry; distances,$50,no,possible,problems/geometry/problem_661.md,https://www.erdosproblems.com/661
662,open,21,low_candidate,geometry,geometry; distances,no,no,N/A,problems/geometry/problem_662.md,https://www.erdosproblems.com/662
663,open,22,low_candidate,number theory,number theory,no,no,A391668,problems/number-theory/problem_663.md,https://www.erdosproblems.com/663
665,open,23,low_candidate,combinatorics,combinatorics,no,no,N/A,problems/combinatorics/problem_665.md,https://www.erdosproblems.com/665
667,open,41,low_to_medium_candidate,graph theory,graph theory; ramsey theory,no,no,N/A,problems/graph-theory/problem_667.md,https://www.erdosproblems.com/667
668,open,30,low_candidate,geometry,geometry; distances,no,no,possible,problems/geometry/problem_668.md,https://www.erdosproblems.com/668
669,open,28,low_candidate,geometry,geometry,no,no,A003035; A006065; A008997; possible,problems/geometry/problem_669.md,https://www.erdosproblems.com/669
670,open,24,low_candidate,geometry,geometry; distances,no,no,N/A,problems/geometry/problem_670.md,https://www.erdosproblems.com/670
671,open,22,low_candidate,analysis,analysis,$250,no,N/A,problems/analysis/problem_671.md,https://www.erdosproblems.com/671
672,verifiable,60,medium_candidate,number theory,number theory,no,yes,N/A,problems/number-theory/problem_672.md,https://www.erdosproblems.com/672
675,open,12,low_candidate,number theory,number theory,no,no,N/A,problems/number-theory/problem_675.md,https://www.erdosproblems.com/675
676,open,28,low_candidate,number theory,number theory,no,no,A390181; in progress,problems/number-theory/problem_676.md,https://www.erdosproblems.com/676
677,open,35,low_candidate,number theory,number theory,no,yes,possible,problems/number-theory/problem_677.md,https://www.erdosproblems.com/677
679,open,20,low_candidate,number theory,number theory,no,no,N/A,problems/number-theory/problem_679.md,https://www.erdosproblems.com/679
680,open,19,low_candidate,number theory,number theory; primes,no,yes,N/A,problems/number-theory/problem_680.md,https://www.erdosproblems.com/680
681,open,27,low_candidate,number theory,number theory; primes,no,yes,A389680,problems/number-theory/problem_681.md,https://www.erdosproblems.com/681
683,open,34,low_candidate,number theory,number theory; primes; binomial coefficients,no,yes,A006530; A074399; A121359; possible,problems/number-theory/problem_683.md,https://www.erdosproblems.com/683
684,open,14,low_candidate,number theory,number theory; primes; binomial coefficients,no,no,A392019; possible,problems/number-theory/problem_684.md,https://www.erdosproblems.com/684
685,open,19,low_candidate,number theory,number theory; primes; binomial coefficients,no,no,N/A,problems/number-theory/problem_685.md,https://www.erdosproblems.com/685
686,open,34,low_candidate,number theory,number theory,no,yes,N/A,problems/number-theory/problem_686.md,https://www.erdosproblems.com/686
687,open,10,low_candidate,number theory,number theory,$1000,no,A048670; A058989,problems/number-theory/problem_687.md,https://www.erdosproblems.com/687
688,open,20,low_candidate,number theory,number theory,no,yes,N/A,problems/number-theory/problem_688.md,https://www.erdosproblems.com/688
689,open,25,low_candidate,number theory,number theory,no,yes,N/A,problems/number-theory/problem_689.md,https://www.erdosproblems.com/689
691,open,25,low_candidate,number theory,number theory,no,no,N/A,problems/number-theory/problem_691.md,https://www.erdosproblems.com/691
693,open,22,low_candidate,number theory,number theory; divisors,no,no,A391118; possible,problems/number-theory/problem_693.md,https://www.erdosproblems.com/693
695,open,32,low_candidate,number theory,number theory,no,yes,A061092,problems/number-theory/problem_695.md,https://www.erdosproblems.com/695
699,falsifiable,63,medium_candidate,number theory,number theory; binomial coefficients,no,yes,N/A,problems/number-theory/problem_699.md,https://www.erdosproblems.com/699
700,open,26,low_candidate,number theory,number theory; binomial coefficients,no,no,A091963; possible,problems/number-theory/problem_700.md,https://www.erdosproblems.com/700
701,open,39,low_to_medium_candidate,combinatorics,combinatorics; intersecting family,no,yes,N/A,problems/combinatorics/problem_701.md,https://www.erdosproblems.com/701
704,open,41,low_to_medium_candidate,graph theory,graph theory; geometry; chromatic number,no,no,N/A,problems/graph-theory/problem_704.md,https://www.erdosproblems.com/704
706,open,41,low_to_medium_candidate,graph theory,graph theory; chromatic number,no,no,possible,problems/graph-theory/problem_706.md,https://www.erdosproblems.com/706
708,open,16,low_candidate,number theory,number theory,$100,no,possible,problems/number-theory/problem_708.md,https://www.erdosproblems.com/708
709,open,21,low_candidate,number theory,number theory,no,no,possible,problems/number-theory/problem_709.md,https://www.erdosproblems.com/709
710,open,17,low_candidate,number theory,number theory,₹2000,no,A390246,problems/number-theory/problem_710.md,https://www.erdosproblems.com/710
711,open,7,low_candidate,number theory,number theory,₹1000,no,possible,problems/number-theory/problem_711.md,https://www.erdosproblems.com/711
712,open,38,low_to_medium_candidate,graph theory,graph theory; turan number; hypergraphs,$500,no,possible,problems/graph-theory/problem_712.md,https://www.erdosproblems.com/712
713,open,42,low_to_medium_candidate,graph theory,graph theory; turan number,$500,no,N/A,problems/graph-theory/problem_713.md,https://www.erdosproblems.com/713
714,open,35,low_candidate,graph theory,graph theory; turan number,no,no,possible,problems/graph-theory/problem_714.md,https://www.erdosproblems.com/714
719,open,44,low_to_medium_candidate,graph theory,graph theory; hypergraphs,no,no,possible,problems/graph-theory/problem_719.md,https://www.erdosproblems.com/719
723,falsifiable,67,medium_candidate,combinatorics,combinatorics,no,yes,N/A,problems/combinatorics/problem_723.md,https://www.erdosproblems.com/723
724,open,35,low_candidate,combinatorics,combinatorics,no,no,A001438,problems/combinatorics/problem_724.md,https://www.erdosproblems.com/724
725,open,32,low_candidate,combinatorics,combinatorics,no,no,A001009,problems/combinatorics/problem_725.md,https://www.erdosproblems.com/725
726,open,27,low_candidate,number theory,number theory,no,no,N/A,problems/number-theory/problem_726.md,https://www.erdosproblems.com/726
727,open,33,low_candidate,number theory,number theory; factorials,no,yes,A002503; A343507; A389396,problems/number-theory/problem_727.md,https://www.erdosproblems.com/727
730,open,40,low_to_medium_candidate,number theory,number theory; binomial coefficients; base representations,no,yes,A129515,problems/number-theory/problem_730.md,https://www.erdosproblems.com/730
731,open,34,low_candidate,number theory,number theory; binomial coefficients,no,no,A006197,problems/number-theory/problem_731.md,https://www.erdosproblems.com/731
734,open,27,low_candidate,combinatorics,combinatorics,no,no,possible,problems/combinatorics/problem_734.md,https://www.erdosproblems.com/734
736,not provable,31,not_applicable_meta_mathematical,graph theory,graph theory; chromatic number,no,no,N/A,problems/graph-theory/problem_736.md,https://www.erdosproblems.com/736
738,open,47,low_to_medium_candidate,graph theory,graph theory; chromatic number,no,no,N/A,problems/graph-theory/problem_738.md,https://www.erdosproblems.com/738
739,not provable,31,not_applicable_meta_mathematical,graph theory,graph theory; chromatic number,no,no,N/A,problems/graph-theory/problem_739.md,https://www.erdosproblems.com/739
740,open,49,low_to_medium_candidate,graph theory,graph theory; chromatic number,no,yes,N/A,problems/graph-theory/problem_740.md,https://www.erdosproblems.com/740
